project_id,field,value,source,note
233,address,"926 S Kingsley Dr, Los Angeles, CA 90006",collaborator-sheet,"differs from generated: '926 S. Kingsley Drive, Los Angeles, CA'"
233,term_years,10,collaborator-sheet,differs from generated: '55'
234,investor_1,Keren Housing,collaborator-sheet,fills blank
234,restricted_units,136,collaborator-sheet,fills blank
234,address,"939 S Kingsley Dr, Los Angeles, CA 90006",collaborator-sheet,"differs from generated: '939 S. Kingsley Drive, Los Angeles, CA'"
235,investor_1,Keren Housing,collaborator-sheet,fills blank
235,restricted_units,59,collaborator-sheet,fills blank
235,address,"3950 Ingraham St, San Diego, CA 92109",collaborator-sheet,"differs from generated: '3950 W. Ingraham Street, Los Angeles, CA'"
236,new_build,YES,collaborator-sheet,
236,investor_1,Killefer Development,collaborator-sheet,fills blank
236,total_units,108,collaborator-sheet,differs from generated: '136'
236,restricted_units,108,collaborator-sheet,fills blank
236,address,"6985 S. Centinela Avenue, Los Angeles, CA 90045",collaborator-sheet,"differs from generated: '6985 S. Centinela Avenue, Los Angeles, CA'"
237,investor_1,Angeleno Invesments,collaborator-sheet,fills blank
237,restricted_units,27,collaborator-sheet,fills blank
237,address,"1178 N Edgemont St, Los Angeles, CA 90029",collaborator-sheet,"differs from generated: '1178 N. Edgemont Street, Los Angeles, CA'"
225,entity,"CG Bennington, LP / JSP Bennington, LP",collaborator-sheet,"differs from generated: 'CG Bennington, LP and JSP Bennington, LP'"
225,restricted_units,132,collaborator-sheet,fills blank
225,address,"2780 N Texas St, Fairfield, CA 94533",collaborator-sheet,fills blank
225,term_years,55,collaborator-sheet,differs from generated: '30'
227,restricted_units,148,collaborator-sheet,fills blank
227,address,"1 Shoal Ct, Sacramento, CA 95831",collaborator-sheet,fills blank
204,address,"6144 Hazelhurst Place, North Hollywood, CA 91606",manual-repo-edit,"Drew, manual research 2026-08-22 (North Hollywood; no exact 6144 situs at county — block has 6142/6146)"
199,address,"6840 Baird Ave, Los Angeles, CA 91335",manual-repo-edit,"Drew, manual research 2026-08-22"
217,address,"217 N. Park View Street, Los Angeles, CA 90026",manual-repo-edit,"Drew, manual research 2026-08-22"
